"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",218.083032305084,-0.0919389309871329,0.346930269660198,0.265006945278032,0.791004111490271,0.998536321305981
"A1BG-AS1",63.2036308261534,-0.144753004063269,0.392914393165745,0.368408504705012,0.712568656897774,0.998536321305981
"A2M",0,NA,NA,NA,NA,NA
"A2M-AS1",0.102790802133314,-0.441458771587051,3.5338115409304,0.124924254299883,0.900583516629064,NA
"A2ML1",0,NA,NA,NA,NA,NA
"A2MP1",0,NA,NA,NA,NA,NA
"A4GALT",28.2282182143334,-0.255082277637089,0.4117618956895,0.619489759269617,0.535593766193128,0.998536321305981
"AAAS",101.530654233795,-0.0808986291813527,0.24006850917741,0.336981428586991,0.73613090001083,0.998536321305981
"AACS",125.880561459886,-0.0265014411723593,0.207247449817651,0.127873424718504,0.8982491423647,0.998536321305981
"AACSP1",0,NA,NA,NA,NA,NA
"AADACL3",0,NA,NA,NA,NA,NA
"AADAT",6.41512418831529,-0.00860556051707772,0.775272869409825,0.0111000408457846,0.991143630652124,0.999956272650756
"AAED1",88.291672525468,0.0745733982731405,0.232242365728288,-0.321101613132842,0.74813338788559,0.998536321305981
"AAGAB",836.691807352538,0.15434327627757,0.226990259831349,-0.679955502902393,0.496532636264427,0.998536321305981
"AAK1",129.497898444514,0.103419534506754,0.27292150286109,-0.378935090942219,0.704736065221764,0.998536321305981
"AAMDC",211.600218915544,-0.0141703777347416,0.233217744445617,0.0607602897816634,0.951550116022913,0.999802725103924
"AAMP",1508.97464064272,0.153652974146764,0.224557283366557,-0.684248454751512,0.49381828968186,0.998536321305981
"AANAT",0.761718097137818,1.1888403767536,1.95862884084711,-0.606975835319275,0.543866948900236,NA
"AAR2",210.003846314735,0.335717784575095,0.247856375125949,-1.35448517071429,0.175581641322705,0.893846613907024
"AARD",0.367829433268822,-0.435444926371675,2.57496014405345,0.169107443226755,0.865712130403515,NA
"AARS",569.25129205099,0.0980234909303688,0.197283590223137,-0.49686591175424,0.619283611425683,0.998536321305981
"AARS2",38.2697412646672,0.0802888257215239,0.32213559163299,-0.249239226608021,0.803175738159091,0.998536321305981
"AARSD1",104.505957927214,-0.46332900184066,0.282483005132734,1.64020133396326,0.100963312060161,0.788555973363395
"AASDH",14.7669224628379,-0.966695272672351,0.466975239531335,2.07012104890731,0.0384410102174628,0.553554333871853
"AASDHPPT",47.3309779173457,0.387942924598615,0.36649577813302,-1.05851949120628,0.289818669448009,0.962912654514197
"AASS",11.611764052349,0.393293159337997,0.495779962444818,-0.793281675601749,0.4276137305734,0.996513349153822
"AATF",100.785512560124,0.122134463733308,0.251639676047978,-0.485354557959379,0.627424860858241,0.998536321305981
"AATK",2.06274872156171,1.50783217427536,1.11767327554892,-1.34908135254001,0.177310837103412,0.898010392319632
"ABAT",0.111554277072829,-0.441458771587051,3.5338115409304,0.124924254299883,0.900583516629064,NA
"ABCA1",1.32351744939016,0.567824631438994,1.36087860759561,-0.417248554183846,0.676496613896266,0.998536321305981
"ABCA10",0.105286944249151,-0.44145877158705,3.5338115409304,0.124924254299883,0.900583516629064,NA
