"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",180.666453076839,-1.23770508391114,0.460898334976268,2.68541886569166,0.00724389598866241,0.204531887888891
"A1BG-AS1",44.2968457508585,-0.16505636267531,0.51843324259267,0.318375345396194,0.75020023759009,0.888938687526466
"A2M",0,NA,NA,NA,NA,NA
"A2M-AS1",0,NA,NA,NA,NA,NA
"A2ML1",0,NA,NA,NA,NA,NA
"A2MP1",0,NA,NA,NA,NA,NA
"A4GALT",31.7079576693025,-0.461216911713189,0.631080867216729,0.730836467515335,0.464879045932795,0.73015312645362
"AAAS",113.537617096114,-0.857386047619277,0.584631981017347,1.4665397642587,0.142501296431683,0.456770542108413
"AACS",142.380430277616,-0.38898093487047,0.403642827737678,0.963676072359853,0.335208354212983,0.63720765243846
"AACSP1",0,NA,NA,NA,NA,NA
"AADACL3",0.0846975136593037,-0.22080452646524,4.08045162499813,0.0541127666144899,0.956845320863868,NA
"AADAT",4.64991816385782,-0.156003244939232,1.11131403212217,0.140377283495042,0.888361905264701,NA
"AAED1",43.1510141192714,0.650794006838596,0.599108247565564,-1.08627115297286,0.277359045657908,0.593558316740083
"AAGAB",658.665928400328,0.164000673923883,0.544546183772701,-0.301169448636405,0.763285285362554,0.894737367082645
"AAK1",87.9198361294285,0.727458124782393,0.535693386189169,-1.35797481084731,0.174471677085078,0.496645347069644
"AAMDC",138.355487812751,-0.489400254286709,0.448839501528153,1.09036805499618,0.275551047794609,0.592623926452296
"AAMP",1379.26101243942,-0.797123873221535,0.351500079020726,2.26777722338586,0.0233427883156219,0.268767303116015
"AANAT",0.513629528838191,0.356325182081541,2.93428599677752,-0.121435055230766,0.903346452265598,NA
"AAR2",170.819707609423,0.0522448527911305,0.39488641083768,-0.132303496289737,0.894744242048427,0.957150590458455
"AARD",0,NA,NA,NA,NA,NA
"AARS",490.741039059801,-0.404388520352809,0.534498772569746,0.756575208598895,0.449304398674275,0.721068594477027
"AARS2",23.3018621217297,-0.0787778919185867,0.596488364264905,0.132069452881399,0.894929357300809,0.957150590458455
"AARSD1",89.9474871962273,-0.285039028746534,0.499775699246426,0.570333910144736,0.568451245550747,0.791165506238887
"AASDH",9.34179302475975,0.409655854757118,0.930143781902066,-0.440422075304751,0.659631439332711,NA
"AASDHPPT",17.5934908013071,0.760314502326463,0.593610691203722,-1.28083020335213,0.200253312772114,0.521419479829861
"AASS",1.94159244429094,0.513139154726616,1.56494180486628,-0.327896636878752,0.742989816670008,NA
"AATF",54.5149690385052,0.041479793998533,0.51557092900011,-0.0804540979045855,0.935876102400852,0.975143631172916
"AATK",3.41685214514567,-1.93013470971095,1.44616417037762,1.33465809017171,0.18198827619618,NA
"ABAT",0.207583818723895,1.16923288252822,4.06891543735717,-0.287357380739193,0.773838690856933,NA
"ABCA1",1.55072551147557,4.57868300019804,1.89828106405796,-2.41201531579848,0.0158646150820607,NA
"ABCA10",0.203515405571458,1.16923288252822,4.06891543735717,-0.287357380739193,0.773838690856933,NA
"ABCA11P",28.4294123147428,-0.681983412571525,0.516414722529871,1.32061187030174,0.186630812839649,0.507807672243483
"ABCA12",0,NA,NA,NA,NA,NA
"ABCA13",0,NA,NA,NA,NA,NA
"ABCA17P",0.719986539134107,-0.332529872016408,2.66545593368009,0.124755344035006,0.900717241402117,NA
"ABCA2",26.0929420516906,-1.21873030579391,0.842648105361042,1.44630991043613,0.148090297306842,0.46659805720789
"ABCA3",24.1300299065625,-1.07256652328258,0.68433338770991,1.56731578868579,0.117040896687348,0.431224894018891
"ABCA4",0.879629943851361,1.28234420805041,2.15967975753697,-0.593765906067886,0.552668695410338,NA
"ABCA5",9.53541022601528,0.75732031410837,0.826178342470505,-0.916654764688905,0.359323577079299,NA
"ABCA7",2.37256704489702,-3.91913887968325,1.9851498009456,1.97422828131984,0.048355791583657,NA
"ABCA8",0.161258201013734,-0.685618934100981,4.08007160197898,0.168040907362614,0.866551097208116,NA
"ABCA9",0,NA,NA,NA,NA,NA
"ABCA9-AS1",0,NA,NA,NA,NA,NA
"ABCB1",0.377183729367148,-1.33617690082431,4.06922217258782,0.328361746828527,0.742638162547925,NA
"ABCB10",8.16466364753432,0.326373310403735,0.984704348228665,-0.331442946292287,0.740309929868314,NA
"ABCB4",0,NA,NA,NA,NA,NA
