"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",212.618567820831,-0.0183470926953465,0.387364116214988,0.0473639449999127,0.962223164475364,0.992374690633986
"A1BG-AS1",48.638647515292,0.153662301708884,0.326142212130283,-0.471151221748323,0.637532749094057,0.933181368570078
"A2M",0,NA,NA,NA,NA,NA
"A2M-AS1",0,NA,NA,NA,NA,NA
"A2ML1",0,NA,NA,NA,NA,NA
"A2MP1",0,NA,NA,NA,NA,NA
"A4GALT",28.0561434328513,-0.701396239734651,0.441083007433324,1.59016835360786,0.111796861798115,0.688704736599089
"AAAS",124.973728065497,-0.107522518210466,0.41704803992885,0.257818063906522,0.796547322684999,0.969341983123083
"AACS",122.60461060917,-0.730320905669232,0.259714629599871,2.81201296513176,0.00492325188210053,0.27831057330004
"AACSP1",0.0609289527628319,0.574597520832271,3.11653965008542,-0.184370354735105,0.853722924631358,NA
"AADACL3",0.0569134664067941,-0.387187495760626,3.11653965008542,0.124236345188168,0.901128145845624,NA
"AADAT",5.16266001612286,0.238159199749148,0.661804064239564,-0.359863610119713,0.718949131313154,0.958694845294743
"AAED1",44.6164998468481,0.424179569899953,0.433887421909321,-0.977625873627198,0.328259395764771,0.827444895942397
"AAGAB",735.824936462896,0.353808892837753,0.385129289048964,-0.918675631529989,0.35826525949648,0.839493668921389
"AAK1",88.505623747336,0.400388047515742,0.396447132841514,-1.00994058059137,0.312523758865871,0.819690205497193
"AAMDC",135.491913228665,-0.325568058879376,0.318041446994748,1.02366550635381,0.305993293039164,0.817658773810327
"AAMP",1467.15779198292,-0.184100502637241,0.241070282140562,0.763679790816756,0.445058086807334,0.874144358984354
"AANAT",0.333483905048105,-0.8763326688078,2.3345644712279,0.375373085476143,0.707383018600406,NA
"AAR2",193.397561329133,0.327500035037511,0.312241281154291,-1.04886847064812,0.294238658590596,0.815091003117403
"AARD",0.227031913129645,1.54142943724101,2.88629330897582,-0.534051557562589,0.593305863862473,NA
"AARS",469.156141302479,-0.373822016226776,0.401983690773154,0.92994324100012,0.35240047286798,0.837616531809316
"AARS2",21.2085051723275,-0.342153043900444,0.401652615724296,0.851863103850183,0.39429007717741,0.850532928161034
"AARSD1",80.5663743753679,-0.531593609508514,0.336560871132543,1.57948726398193,0.114224335516789,0.690712104166881
"AASDH",11.5701075952048,0.697585302229559,0.606819790271668,-1.14957572810415,0.25031865984868,0.794890328980986
"AASDHPPT",15.3330046008853,0.0561180699780368,0.419010689495891,-0.133929924426396,0.893457987180245,0.987298046762756
"AASS",3.4011982981068,1.46227508349339,0.770282931878624,-1.89836100863235,0.0576485422916215,0.5909046361281
"AATF",52.203149344325,-0.140742105620743,0.333873502505205,0.421543202933717,0.673358470551779,0.941374050557838
"AATK",5.63057001186467,0.715561990171884,0.680818969086477,-1.05103121778764,0.293244252320014,0.815045658257132
"ABAT",0.117842419169626,0.0937038448047832,3.11653965008542,-0.0300666300851378,0.976013914026728,NA
"ABCA1",0.257443566670136,0.574595165744845,3.09662908189668,-0.185555050523812,0.852793705776287,NA
"ABCA10",0.38558773136945,1.34616818380988,2.22711955637306,-0.604443609665103,0.545548749433464,NA
"ABCA11P",32.4482506269602,0.0527203240886496,0.356128899507408,-0.148037197097937,0.882313412603733,0.985012822067469
"ABCA12",0,NA,NA,NA,NA,NA
"ABCA13",0,NA,NA,NA,NA,NA
"ABCA17P",0.542579327411484,-1.06957571730405,1.8933197063668,0.564920818025244,0.5721276230548,NA
"ABCA2",28.9054903096308,-0.204070134698614,0.619433089437603,0.32944661526541,0.741818138533462,0.962312231860681
"ABCA3",24.7765412902866,-0.408507872975056,0.446661615915368,0.914580206624378,0.360412053651444,0.840636655423479
"ABCA4",1.78110972503847,2.07056989967244,1.37078872767618,-1.51049527754912,0.13091709348616,NA
"ABCA5",9.8365753977145,0.502058091902389,0.6475987024323,-0.775261114663636,0.438185381830347,0.871799839810402
"ABCA7",3.75815940169477,0.395693472492922,0.843569286499285,-0.46907050650813,0.639019239775474,0.933298781669656
"ABCA8",0.247078109031952,0.111684276990087,2.8387106095806,-0.0393433119294211,0.968616675404232,NA
"ABCA9",0,NA,NA,NA,NA,NA
"ABCA9-AS1",0,NA,NA,NA,NA,NA
"ABCB1",0.480292287179252,-0.0552986497585286,2.16787983813756,0.0255081710645162,0.97964963104211,NA
"ABCB10",6.73160106078404,-0.407564476832019,0.67545876724154,0.603389128394089,0.54624985282404,0.908467848771174
"ABCB4",0,NA,NA,NA,NA,NA
"ABCB6",140.902688446701,-0.262358371107695,0.254652625193483,1.03025983301117,0.302888049130193,0.817658773810327
"ABCB7",36.6822065443398,0.529188567129665,0.374070681644335,-1.41467533569716,0.157163709137464,0.722983868526865
"ABCB8",37.1775189050302,-0.519674171928645,0.392593024450094,1.32369690637411,0.185603726311368,0.743833080804681
"ABCB9",230.134417532867,0.0998578129270227,0.463617247071,-0.215388477365533,0.829464452921641,0.974835621932079
"ABCC1",115.350243949941,0.0395361961820861,0.263542242495858,-0.15001844033678,0.880750066616208,0.984917917586298
"ABCC10",95.2947468568801,-0.642912091995958,0.315805546869451,2.03578467309736,0.0417719821549532,0.540152796236779
"ABCC11",0.0941903357566806,0.574597520832271,3.11653965008542,-0.184370354735105,0.853722924631358,NA
"ABCC2",0.80710090546306,-0.66279800640493,1.49823584946259,0.442385627498283,0.658210177609514,NA
"ABCC3",7.33518612054724,-0.778354718778402,0.659581437691452,1.18007371690546,0.237970897038023,0.789059734717679
"ABCC4",17.5853829097934,0.381222215592417,0.464499444900011,-0.820716191974093,0.411807945565754,0.861586146161987
"ABCC5",52.5102288368959,0.285171631362839,0.308817998633068,-0.923429439427445,0.35578345583795,0.838375541386767
"ABCC6",0.532095445800269,-1.03301854824693,1.89990526740282,0.543721082293262,0.586633422532904,NA
"ABCC8",0,NA,NA,NA,NA,NA
"ABCC9",0.93286703323008,-1.01294494537903,1.68987203610616,0.599421094459365,0.548892113628592,NA
"ABCD1",23.7418759630019,-0.153165990712112,0.45568179549307,0.336124884134068,0.736776694176365,0.961391822257626
"ABCD3",70.1648770464038,0.387962780573488,0.348104344392503,-1.11450140402742,0.265064142459742,0.802738733058864
"ABCD4",51.1732600710101,-0.720826987437176,0.482892910243908,1.49272638331569,0.135508824249418,0.701436192278958
"ABCE1",47.5042738973586,0.37409691950674,0.499230345010733,-0.749347316815641,0.453647895630171,0.876653317499631
"ABCF1",312.830119893104,0.10628351752733,0.254902919002503,-0.416956847505881,0.67670997159261,0.942633072851472
"ABCF2",247.653717796238,-0.160753558274845,0.281036280348748,0.57200286765595,0.567320031890878,0.915567251466971
"ABCF3",94.6745600036135,-0.4517740211632,0.363154455720245,1.24402720122818,0.213489551915299,0.76193331832439
"ABCG1",0,NA,NA,NA,NA,NA
"ABCG2",8.20272084967079,1.11588332131492,0.622432495479049,-1.79277805933974,0.073008419119378,0.623425765506966
"ABCG4",6.91293202562565,-0.51593290263346,0.679218132326628,0.759598246981655,0.447494767316841,0.875262478163835
"ABCG5",0,NA,NA,NA,NA,NA
"ABHD1",0.661692428028346,2.10504148444588,2.12342487991043,-0.99134257319933,0.321518331263995,NA
"ABHD10",80.6081431073352,0.385248050906967,0.26571576550964,-1.44985018170851,0.14710030225587,0.71408624284887
"ABHD11",31.7779904753749,-0.565847640550409,0.438688365102223,1.28986242983343,0.19709842731799,0.750584711661633
"ABHD11-AS1",9.33712272860103,0.908730699176308,0.706341658952021,-1.28653136574808,0.198257679500063,0.751933615410301
"ABHD12",219.647426411299,-0.24488841555204,0.337087636400518,0.726482935319141,0.467542765052123,0.880315805670082
"ABHD12B",0,NA,NA,NA,NA,NA
"ABHD13",11.4704948543539,-0.0675679147207387,0.521026536806386,0.129682290531484,0.89681779434525,0.987875582465297
"ABHD14A",57.5746176197939,-0.280709621663164,0.361368019641744,0.776797077786398,0.437278501107656,0.871644952863552
"ABHD14A-ACY1",120.678816387101,-0.395206180814445,0.349845094218413,1.12966049073054,0.258619311318351,0.79997223175241
"ABHD14B",116.508613378026,-0.267068818922411,0.378589625065778,0.705430897310006,0.480542121689204,0.883849244275818
"ABHD15",32.0281878964031,-0.379711276633525,0.344373773422659,1.10261380493542,0.270194912624728,0.805197817442497
"ABHD16A",425.473316585629,-0.427303268308799,0.335127067323613,1.27504851136413,0.202292071997547,0.75562391759796
"ABHD17A",318.796131178824,0.114196543023554,0.34099273474376,-0.334894358114015,0.737704778183815,0.961593968041797
"ABHD17B",26.9091364304367,-0.171604996058331,0.380052552001603,0.451529650714217,0.651607859874932,0.936031009940162
"ABHD17C",157.714688203808,0.0560777419731673,0.475967617378772,-0.117818397566616,0.906211551927173,0.988549084291268
"ABHD18",8.7406187075344,-0.0260752524953054,0.565730852423102,0.0460912682835337,0.963237505513948,0.992374690633986
"ABHD2",60.4998517143666,0.343599093895955,0.331700178195482,-1.0358725031901,0.300261627150884,0.817658773810327
"ABHD3",19.9887004964748,0.227796476932195,0.423973660390029,-0.537289219152522,0.591067851147751,0.923299986918077
"ABHD4",100.652455241516,-0.60460922951075,0.373538388403114,1.61859998404841,0.105533358548524,0.678504531642221
"ABHD5",19.2834079442273,0.114833734158203,0.593993810504807,-0.193324799227472,0.846704605690306,0.979658643193452
"ABHD6",10.3706107169556,-0.644107011809358,0.590466178147016,1.09084488773036,0.275341141087793,0.806569064800192
"ABHD8",46.8961938358988,0.1680045442477,0.533332805135893,-0.315008832439798,0.752754947708225,0.962545524789892
"ABI1",76.748957751988,0.464482514678953,0.297377030255677,-1.56193137808796,0.118304155535919,0.690712104166881
"ABI2",167.058134590405,0.275759004735384,0.36408921688241,-0.757394045054748,0.448813822704606,0.875262478163835
"ABI3",26.1223120498959,-0.556128676176686,0.403317598750624,1.37888522072786,0.167930145629316,0.733230896004796
"ABI3BP",10.242814278144,0.633786123907143,0.498169343382703,-1.27223028138096,0.203291311506463,0.755642530583094
