"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",225.360025000034,-0.0695474935867857,0.440431765534482,0.157907533082649,0.87452966200078,0.975287337691151
"A1BG-AS1",45.1756099337133,-0.571029412182354,0.505589763592904,1.12943230520415,0.258715511392236,NA
"A2M",0,NA,NA,NA,NA,NA
"A2M-AS1",0,NA,NA,NA,NA,NA
"A2ML1",0,NA,NA,NA,NA,NA
"A2MP1",0,NA,NA,NA,NA,NA
"A4GALT",35.3040238248627,-0.251669857606198,0.615138791711844,0.409126949880428,0.682446499647924,NA
"AAAS",123.94145005617,-0.766936088594988,0.571835134338616,1.34118392267384,0.179860744943746,0.617211786240865
"AACS",156.089550211461,-0.285007369107372,0.38903969781944,0.732591996921736,0.463807313755975,0.827920320011039
"AACSP1",0,NA,NA,NA,NA,NA
"AADACL3",0.0912874314801768,-0.700365990067348,4.08045162499813,0.171639331729039,0.863721084042096,NA
"AADAT",4.94612232379113,-0.213330704863774,0.994543719960744,0.214501082840475,0.830156322630638,NA
"AAED1",39.4077795052415,-0.230431487970108,0.606123275884585,0.380172643318824,0.703817264880918,NA
"AAGAB",639.924014958054,-0.495954644462835,0.540868207324608,0.91696024603861,0.359163472155491,0.776291276083184
"AAK1",82.3895831089541,0.0562681287736466,0.53392938539105,-0.105384963467474,0.916070347035942,0.98456672464707
"AAMDC",181.110929881314,0.584221921478653,0.426969286842436,-1.36829964000256,0.17121830343763,0.608727465007766
"AAMP",1541.27915953,-0.516698079058657,0.344649064811723,1.49920058347154,0.133821603734274,0.571157109290458
"AANAT",0.382895465997789,-1.67093854483255,3.40315877375148,0.490996352483015,0.623429027361294,NA
"AAR2",187.318554572514,0.130816094938575,0.381553596364329,-0.342851164777555,0.731710432226165,0.93978124130403
"AARD",0,NA,NA,NA,NA,NA
"AARS",545.820927196832,-0.206973649008653,0.530842617572899,0.389896444175812,0.696613123384333,0.925150569334486
"AARS2",25.6387381166484,0.0370808182317609,0.556648502196195,-0.0666144220014294,0.946888664152508,NA
"AARSD1",99.362062220589,-0.144197586927937,0.484532443051254,0.297601510478594,0.766007321591731,0.945835188262111
"AASDH",8.42957303968651,-0.637092372521722,0.960482768832421,0.663304322779453,0.507135668585684,NA
"AASDHPPT",21.6081722973366,1.22810742675276,0.537879825152209,-2.28323757338404,0.0224163779865943,NA
"AASS",2.62811239904287,1.30901999371307,1.22097563084716,-1.07210984448955,0.283670697651052,NA
"AATF",68.1976065303196,0.732212968708939,0.471571770205929,-1.55270738193084,0.120493057956998,NA
"AATK",4.79120028166714,0.288022649282871,0.979737905535063,-0.293979285333024,0.768773732244881,NA
"ABAT",0.0912874314801768,-0.700365990067348,4.08045162499813,0.171639331729039,0.863721084042096,NA
"ABCA1",1.111931239501,3.91220149114239,2.07639911734464,-1.88412789162877,0.0595476782901335,NA
"ABCA10",0.0868831068448849,-0.700365990067347,4.08045162499813,0.171639331729038,0.863721084042097,NA
"ABCA11P",33.1660633363719,-0.141870305635537,0.450838608329268,0.314680914665415,0.753003936500678,NA
"ABCA12",0,NA,NA,NA,NA,NA
"ABCA13",0,NA,NA,NA,NA,NA
"ABCA17P",0.822308957486143,0.0991586308058594,2.39149017920947,-0.0414631143660548,0.966926698023459,NA
"ABCA2",29.85283356326,-0.650842490811956,0.806695582434984,0.806800613494634,0.419781365640555,NA
"ABCA3",27.0890834824127,-0.714983938531486,0.637629772229509,1.12131517327289,0.262153729116612,NA
"ABCA4",0.620891471460681,-0.719428109724873,2.76337278101268,0.260344212213463,0.794598271630061,NA
"ABCA5",13.8218752775585,1.72503739739518,0.715402776706598,-2.41128138380522,0.015896578793634,NA
"ABCA7",6.03384180024823,2.06098618304521,1.01810625453549,-2.02433309280232,0.0429358908491376,NA
"ABCA8",0.17376621368977,-1.16407296069682,4.08004533838202,0.285308829719634,0.775407548732393,NA
"ABCA9",0,NA,NA,NA,NA,NA
"ABCA9-AS1",0,NA,NA,NA,NA,NA
"ABCB1",0.623577724023438,0.644790170769237,2.85012223210178,-0.226232462421005,0.821020623671988,NA
"ABCB10",7.87458213978285,-0.332894595908296,1.00004015860317,0.332881227863163,0.73922394010867,NA
"ABCB4",0,NA,NA,NA,NA,NA
"ABCB6",168.360491359493,0.150473506111724,0.351633080478916,-0.427927616783902,0.668703819921288,0.917259478233405
"ABCB7",30.8190542432999,-0.207898290447441,0.588590766897142,0.353213645438939,0.723928278784769,NA
"ABCB8",56.4995296728598,0.868889425335233,0.55131851020005,-1.57602077430694,0.115021015650566,NA
"ABCB9",204.123433899679,-1.1730450282569,0.592811070346636,1.97878394472456,0.0478403368981185,0.386019799484683
"ABCC1",119.635639583118,-0.100712537762414,0.411342322882499,0.244838744179463,0.806581293211721,0.960200987223854
