"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",7.20994446995577,-1.0036951892478,0.981103802912045,1.02302649961064,0.306295316631382,NA
"A1BG-AS1",20.6683845393267,-0.729245949171654,0.530547887408541,1.37451484866645,0.169281903690122,0.866563481135338
"A2M",0,NA,NA,NA,NA,NA
"A2M-AS1",0.163522139221291,-0.225141363271923,4.00692494448142,0.0561880660085738,0.955191988089774,NA
"A2ML1",0,NA,NA,NA,NA,NA
"A2MP1",0.0876066758374391,-0.225141363271923,4.00692494448142,0.0561880660085738,0.955191988089774,NA
"A4GALT",3.78711512226654,-0.316383092763974,0.954469591600558,0.331475298478004,0.740285496306881,NA
"AAAS",38.6469186323794,0.033917400109578,0.604768437803358,-0.0560832840959308,0.955275460336962,0.997983100476691
"AACS",163.656089224284,-0.494606344387857,0.366530747217097,1.34942661193687,0.177199977839231,0.866563481135338
"AACSP1",0,NA,NA,NA,NA,NA
"AADACL3",0,NA,NA,NA,NA,NA
"AADAT",11.3123214259345,-0.671766013859818,0.69595337552169,0.965245715427789,0.334421754292038,NA
"AAED1",8.25317897384626,0.498567525522053,0.623637334293192,-0.799451056096749,0.424028915820847,NA
"AAGAB",273.065486421356,0.0806528580228824,0.424153645725886,-0.190150099699968,0.849191512290592,0.988784171578538
"AAK1",205.783933406463,-0.589691842145288,0.375622716389131,1.56990463147173,0.11643729995475,0.825592263209429
"AAMDC",49.2437493329974,-0.899547953157589,0.526629728663134,1.70812224262599,0.0876136625540722,0.797969134352163
"AAMP",292.471812258649,-0.093702544078017,0.419384731652518,0.223428601486748,0.823201946129483,0.987664502517274
"AANAT",0.130697689747758,-0.607360346920055,4.00490952176271,0.151653949638476,0.879459879815126,NA
"AAR2",41.6758079877068,0.109509782151849,0.479289761382744,-0.228483458181778,0.819270414505069,0.987664502517274
"AARD",0,NA,NA,NA,NA,NA
"AARS",416.01467790329,-0.84027085931548,0.456745702124917,1.83969078506112,0.0658136472006121,0.772371748548887
"AARS2",46.7165952475438,-0.223149850363365,0.404395984693262,0.55181025235111,0.581078362316962,0.960134863804095
"AARSD1",77.4543917739772,-0.334313945604487,0.489008318511144,0.6836569705447,0.494191800872567,0.955019410560143
"AASDH",32.779988132385,0.0197766840050369,0.515327755780134,-0.0383769043743777,0.96938717505335,0.998146314241129
"AASDHPPT",14.6952167559183,0.0292388468156007,0.605810128886618,-0.0482640441640304,0.961505809742489,0.99812273706735
"AASS",95.0684417508731,-0.0514948068707864,0.472544454627784,0.108973465599862,0.913223536358651,0.991580335792734
"AATF",43.4208219461603,0.117407173657651,0.497244954891233,-0.236115364274199,0.813343151992492,0.987664502517274
"AATK",1.57844051681183,0.738844539523835,1.50833860420552,-0.489839971915988,0.624247143105695,NA
"ABAT",0.185645229799618,-0.889319456146213,3.97020907531302,0.223998141980998,0.822758748988994,NA
"ABCA1",4.49779847859536,-0.00233816637988848,0.908166823641131,0.002574600083401,0.997945768612647,NA
"ABCA10",5.04057884095299,-0.406303301655615,0.92615341213013,0.438699783787577,0.660879083770588,NA
"ABCA11P",43.6656603757627,-0.540913796114794,0.442243898368681,1.22311194820342,0.221287416387501,0.896503860525223
"ABCA12",0.0986267236308705,1.55184115712806,3.98919660180665,-0.389010949328808,0.697268046708591,NA
"ABCA13",0.0986267236308705,1.55184115712806,3.98919660180665,-0.389010949328808,0.697268046708591,NA
"ABCA17P",0.26990596555947,-1.22197343248353,3.15131944699079,0.387765649607628,0.698189468015505,NA
"ABCA2",21.6790072304109,0.201506701422755,0.831041071018037,-0.242475021331866,0.808412109531992,0.987664502517274
"ABCA3",9.20444709369919,-1.1043558996261,0.980959847246986,1.12579113480069,0.260253937477388,NA
"ABCA4",3.39820428141416,-0.890971457247224,1.1718321775625,0.760323427114375,0.447061281757408,NA
"ABCA5",157.612221399024,-0.452025983996524,0.582782005684456,0.775634764950637,0.437964667511623,0.947453679796817
"ABCA7",5.66650929283302,-0.336648357569309,0.904825280447267,0.372058965243432,0.709848947614331,NA
"ABCA8",0.96284308226033,-1.16752608015091,1.98434065593196,0.588369782507215,0.556284115644996,NA
"ABCA9",0.336891810198817,-0.677027138829928,3.23738831136332,0.209127566332882,0.834348655633226,NA
"ABCA9-AS1",0,NA,NA,NA,NA,NA
"ABCB1",0.197253447261741,2.37347484221062,3.90338774200874,-0.608055104715064,0.543150927038679,NA
"ABCB10",7.09113337450344,0.0979739575282916,0.766321437527572,-0.127849689086594,0.898267926482852,NA
"ABCB4",0.128879391795369,-0.225141363271925,4.00692494448142,0.0561880660085743,0.955191988089774,NA
"ABCB6",82.3083521562543,-0.541604633499417,0.372446057798099,1.45418275253437,0.145895645479016,0.857201686405643
"ABCB7",77.1017555162155,-0.211427989397868,0.488587056214578,0.432733505132017,0.665208385825978,0.972404424885504
"ABCB8",28.83959139931,0.149976337150936,0.552321179317262,-0.27153826933873,0.785977070239723,0.987397660868486
"ABCB9",48.2724361967948,-0.138755663292368,0.543691892353472,0.255210101978416,0.798560829107599,0.987649212096541
"ABCC1",169.613806908788,0.147135351863175,0.42452494675531,-0.346588234655576,0.728900686056447,0.980219255189072
"ABCC10",77.6182716790561,-0.617921830371319,0.524565222540914,1.17796949515296,0.23880876766842,0.900395539204317
"ABCC11",0,NA,NA,NA,NA,NA
"ABCC2",3.77388013485846,0.838092870148403,1.01730679206949,-0.823834930309947,0.410033357168118,NA
"ABCC3",13.0873803625841,0.19542005952843,0.702996049789478,-0.277981732026732,0.781026382030273,NA
"ABCC4",28.7146023645833,0.0305506678505153,0.51377373610256,-0.0594632728451046,0.952583117714716,0.997133345005889
"ABCC5",264.957687434956,-0.560841573685492,0.45956639257647,1.22037116452585,0.222324203357993,0.896546530852328
"ABCC6",2.15481187911552,-0.732691672706155,1.27211430067362,0.575963710429302,0.564639710725522,NA
"ABCC8",0,NA,NA,NA,NA,NA
"ABCC9",3.13450677131535,-1.75803437952822,1.66360647281959,1.0567609637564,0.290620694062567,NA
"ABCD1",3.77610085120173,0.133410105368767,0.934681629676268,-0.142733205760099,0.886500890804284,NA
"ABCD3",117.930881877146,-0.227094491150458,0.459357996563137,0.494373653772336,0.621042317031432,0.960497953117508
"ABCD4",98.5680982480166,-0.308540216736645,0.605343278186159,0.509694627585772,0.610265417405296,0.960134863804095
"ABCE1",51.5999329602741,0.83083710056168,0.420468267078435,-1.97598050938454,0.0481569847299227,0.729180760996228
"ABCF1",317.822134883331,-0.263117728784831,0.378021807817187,0.696038491282165,0.486404724754311,0.955019410560143
"ABCF2",142.204782015053,0.0502573108593159,0.378662466829639,-0.132723243684795,0.894412259688906,0.990332354528836
"ABCF3",53.6568631103586,-0.372967370767215,0.529173063087712,0.704811708651533,0.480927421060171,0.955019410560143
"ABCG1",0,NA,NA,NA,NA,NA
"ABCG2",9.43584472153158,0.254638753292332,0.744188086726207,-0.342169886664708,0.732223045911707,NA
"ABCG4",2.4107605003341,-0.556494496303266,1.41343621623013,0.393717445409409,0.693789659997566,NA
"ABCG5",0,NA,NA,NA,NA,NA
"ABHD1",0.0757501496958984,-0.225141363271923,4.00692494448142,0.0561880660085738,0.955191988089774,NA
"ABHD10",58.7480755765242,0.71779453563368,0.354958917194612,-2.02219045884721,0.0431566795862582,0.710276493182733
"ABHD11",18.9986481263353,-0.599703112494384,0.71810306369511,0.835121228154242,0.403649455485635,0.943996711510022
"ABHD11-AS1",0.130697689747758,-0.607360346920055,4.00490952176271,0.151653949638476,0.879459879815126,NA
"ABHD12",48.5627746077603,-0.0318266694174484,0.44375963590976,0.0717205145353069,0.942824329964849,0.994703202907347
"ABHD12B",0,NA,NA,NA,NA,NA
"ABHD13",4.96257799976731,0.959430241485749,0.847923035925261,-1.1315062816271,0.25784206102595,NA
"ABHD14A",3.35683183923884,-1.13682066169365,1.33298920188785,0.852835611934154,0.39375047222045,NA
"ABHD14A-ACY1",13.441084290653,-0.406532145975433,0.708820097694008,0.573533605068474,0.566283452294125,NA
"ABHD14B",13.8294372069783,-0.715983923425444,0.603022771432486,1.1873248529647,0.235099508620366,NA
"ABHD15",9.80754509576508,0.321026548986016,0.601974723845944,-0.533289083858897,0.59383348297487,NA
