"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",11.0749601671754,0.756889669810297,0.691047859639829,-1.09527822024481,0.273394766243239,0.85901525131621
"A1BG-AS1",26.7584417124091,0.157895386859769,0.432445324903673,-0.365122196418565,0.715020192684946,0.980208131304041
"A2M",0,NA,NA,NA,NA,NA
"A2M-AS1",0.18938095186596,-1.15701952465324,4.00692494448142,0.288754978115266,0.772768887349334,NA
"A2ML1",0,NA,NA,NA,NA,NA
"A2MP1",0.100650131087061,-1.15701952465324,4.00692494448142,0.288754978115266,0.772768887349334,NA
"A4GALT",4.89583447851943,0.402113804255313,0.738696084712723,-0.5443562143851,0.586196370347232,0.963263404682034
"AAAS",43.2756158304372,-0.182406598217764,0.593508382440825,0.307336178585398,0.758587500801588,0.986954336352716
"AACS",194.088382132135,-0.275965113651358,0.321230740330788,0.859086877448849,0.390292586594658,0.915919040704862
"AACSP1",0,NA,NA,NA,NA,NA
"AADACL3",0,NA,NA,NA,NA,NA
"AADAT",13.2416512161449,-0.484306380534983,0.585868054591599,0.826647530513653,0.408436868886804,0.92090508710517
"AAED1",9.54344760033305,0.47365636800916,0.519978468258792,-0.910915349236003,0.362339977550015,0.90015710407213
"AAGAB",299.294959225446,-0.273803966282016,0.396493402738646,0.690563737986071,0.489839742169587,0.939496739301286
"AAK1",232.109722857494,-0.813735905148275,0.344542616955149,2.36178593040118,0.018187140789946,0.404134829998513
"AAMDC",63.021828052938,-0.041770627010443,0.488943255821825,0.085430418587601,0.931919211017311,0.996387076505947
"AAMP",352.064222393481,0.171695332735888,0.407353791779484,-0.421489467388665,0.673397700692152,0.976898142475687
"AANAT",0.150773219412777,-1.53890361041905,4.00488439481344,0.38425668726219,0.700788206854387,NA
"AAR2",48.6297333421843,0.172320047758415,0.452926111603862,-0.38045951280709,0.703604345020568,0.97889937719528
"AARD",0,NA,NA,NA,NA,NA
"AARS",511.121140899087,-0.295440796935195,0.448444876105273,0.658811846622236,0.51001659902349,0.944619028428226
"AARS2",52.3181682699683,-0.450855833236007,0.354939429015731,1.27023316199684,0.204001588352461,0.808932665124587
"AARSD1",93.3736066263239,-0.0220607206437673,0.443107757489653,0.0497863561873715,0.960292639385137,0.997113054567726
"AASDH",36.1656779273689,-0.298489563971055,0.492335852256705,0.606272248106405,0.544333983857192,0.952089261052975
"AASDHPPT",16.1169792158621,-0.360908004966316,0.562257572800757,0.641890874263436,0.520944039906117,0.945192808421009
"AASS",108.551926920033,-0.129609997360576,0.459427983210359,0.282111673857775,0.777857882197911,0.987986777745068
"AATF",50.5813383132879,0.185178791067836,0.444012244240806,-0.417057847998006,0.676636095706356,0.976987865305087
"AATK",1.56282912460934,0.00499996340295155,1.42209326085865,-0.00351591807694287,0.997194709029046,0.999681704361129
"ABAT",0.214038202044139,-1.82248262488184,3.71894698308931,0.490053403065163,0.624096109999066,NA
"ABCA1",5.35843448054418,0.155291556203029,0.764003956215419,-0.203260146678145,0.83893170361988,0.992669910860188
"ABCA10",5.67826944412343,-0.665510592814174,0.824972041066889,0.806706845426552,0.419835399302933,0.923898746165143
"ABCA11P",51.4902418590983,-0.347714808429257,0.379389404630369,0.916511647888606,0.359398601025284,0.898803447658031
"ABCA12",0,NA,NA,NA,NA,NA
"ABCA13",0,NA,NA,NA,NA,NA
"ABCA17P",0.310932572473486,-2.15727978044759,2.93399160806326,0.735271285207127,0.462174292424612,NA
"ABCA2",22.703220104526,-0.485458894612098,0.829924760803863,0.584943259364721,0.558585869724956,0.95541095604436
"ABCA3",10.2263852629703,-1.76194205353738,0.929009025919898,1.89658227678974,0.0578830915479454,0.59759911768738
"ABCA4",4.21507364591806,-0.291389253254827,0.927742713524413,0.314084119451464,0.753457150527729,0.986322023038762
"ABCA5",193.92849836212,0.0157708592054306,0.581013649281271,-0.0271436983019927,0.978345121382598,0.998173323150598
"ABCA7",6.80426111496649,-0.0683170890779959,0.775672568447518,0.0880746488363384,0.92981734535942,0.996387076505947
"ABCA8",1.35399483020998,0.233824511294833,1.36438065697833,-0.17137776770647,0.86392673495525,NA
"ABCA9",0.459380286941252,-0.175015728339513,2.67267828986621,0.0654832753358706,0.947789222101488,NA
"ABCA9-AS1",0,NA,NA,NA,NA,NA
"ABCB1",0,NA,NA,NA,NA,NA
"ABCB10",8.25157137136393,0.155053989227453,0.666198970517463,-0.232744264235377,0.815959995028303,0.990160629156765
"ABCB4",0.218716267844182,0.267614186462071,3.64405738475916,-0.0734385214627342,0.941457164643706,NA
"ABCB6",101.683032919951,-0.0363415914586666,0.333381847573034,0.109008908922989,0.913195424148782,0.995514200289997
"ABCB7",87.5839566607634,-0.339320711007898,0.473469198950447,0.716669028862026,0.473578340373929,0.935825494054516
"ABCB8",36.2529688892026,0.606910180290347,0.511462154730792,-1.18661796318008,0.235378347146864,0.8359817617569
"ABCB9",54.7910002943446,-0.270507489671205,0.515716673999433,0.524527329266655,0.599911816570909,0.964209695267789
"ABCC1",196.216531557139,0.159381360610858,0.412955968570516,-0.38595243256217,0.699531897758186,0.978799693611197
"ABCC10",89.1900443954032,-0.663399387146241,0.509795608409459,1.30130463307838,0.193154202001243,0.801376660431979
"ABCC11",0,NA,NA,NA,NA,NA
"ABCC2",4.29651703848981,0.820753400561445,0.849870997421459,-0.965738803949825,0.334174897171298,0.887250175302477
"ABCC3",14.3496579846705,-0.104568307212738,0.63198645885831,0.165459727415113,0.868582145747715,0.992669910860188
"ABCC4",32.3798373656636,-0.15025459084193,0.435885197951447,0.344711386273471,0.730311357228958,0.982971766699579
"ABCC5",295.643694188933,-0.893183813895423,0.444792968073425,2.00808888180979,0.0446338475250141,0.553039257880113
"ABCC6",2.50650220941182,-0.808271939126164,1.02419775103249,0.789175662914069,0.430009344152539,0.925840666330149
"ABCC8",0,NA,NA,NA,NA,NA
"ABCC9",3.40665960429339,-3.70586127958814,1.98300043636834,1.86881516091597,0.0616485348330369,0.609634855535329
"ABCD1",4.4548309085008,0.238923911726362,0.801348120520019,-0.298152457849801,0.765586805571592,0.987162706894061
"ABCD3",132.497441101764,-0.434208852224415,0.447303160915506,0.97072609846018,0.331684691955144,0.886353515695179
"ABCD4",111.144052677947,-0.497910294717203,0.601899021542873,0.827232271354901,0.408105423654033,0.92090508710517
"ABCE1",57.0773067101627,0.643318478433157,0.38967786695417,-1.65089817253803,0.0987593690536403,0.693206833197894
"ABCF1",383.576134154342,0.0401961823165633,0.358878928359173,-0.112004854953017,0.910819557100224,0.995514200289997
"ABCF2",170.322802836706,0.266781406308072,0.355579536836698,-0.750272101374025,0.453090841658473,0.929627538566001
"ABCF3",66.0735521594022,0.0779376507016598,0.504913373405239,-0.154358459899829,0.877327105245559,0.992669910860188
"ABCG1",0,NA,NA,NA,NA,NA
"ABCG2",10.7294076970885,0.166826806380411,0.70082228310524,-0.23804438072549,0.81184667252129,0.990160629156765
"ABCG4",2.76594352212858,-0.737758570596989,1.19362173707237,0.61808406104141,0.536519928405229,0.950318779215277
"ABCG5",0,NA,NA,NA,NA,NA
"ABHD1",0.157164538127332,0.267087596213988,4.00287537427331,-0.0667239349819816,0.946801479410096,NA
"ABHD10",59.2475381163943,-0.0202549454171754,0.316700952158863,0.0639560610067731,0.949005213377073,0.997113054567726
"ABHD11",25.2116611589199,0.38890070095307,0.630640250634755,-0.616675990093611,0.53744846098869,0.950318779215277
"ABHD11-AS1",0.442344040087957,1.89786572059627,2.1351720447907,-0.888858452988178,0.37407915657427,NA
"ABHD12",59.6774809755645,0.335709139981739,0.406086187526411,-0.826694308483234,0.4084103481062,0.92090508710517
"ABHD12B",0,NA,NA,NA,NA,NA
"ABHD13",5.61411752104624,0.816878755776056,0.668407150696788,-1.22212749358605,0.221659417548883,0.820007288229744
"ABHD14A",4.28283643968832,-0.12938941777473,1.03824537186587,0.124623158726149,0.900821893315777,0.994786618401075
"ABHD14A-ACY1",16.8061397411291,0.172999237995505,0.6333987753271,-0.273128469353552,0.784754463047183,0.988800878018124
"ABHD14B",19.1340981408444,0.488557661611131,0.464417741195393,-1.0519788937296,0.292809233271154,0.864518769171858
"ABHD15",10.7501026244944,0.0137124707424465,0.539257857797469,-0.0254284115551942,0.979713249287338,0.998173323150598
"ABHD16A",188.974591813899,-0.0955346090780339,0.271875261748561,0.351391327271208,0.725294787923896,0.981736912393745
"ABHD17A",53.8407358693052,0.386316505832412,0.422488622190477,-0.914383217776321,0.360515516993238,0.899928716867303
"ABHD17B",27.4003436661519,0.270569738681942,0.478690118794305,-0.565229420994602,0.57191772766533,0.961841859871086
"ABHD17C",89.3656403396599,-0.620384827297836,0.529241063746654,1.17221597074488,0.241110357959029,0.838193389566521
"ABHD18",38.3081124954833,-0.102282342124529,0.538353778744744,0.189990943061673,0.84931622766155,0.992669910860188
"ABHD2",63.1835740822234,0.275922383949978,0.369763398159787,-0.746213349734369,0.455538545078824,0.930600840681415
"ABHD3",41.004647788814,0.026797099715357,0.552051641875925,-0.0485409292947629,0.961285146009297,0.997113054567726
"ABHD4",48.8734610523897,0.151481289167447,0.388708865017676,-0.389703716071818,0.696755648324462,0.978799693611197
"ABHD5",25.3713359121815,-1.07087282812173,0.521477671531808,2.05353534117023,0.0400206858065176,0.53355825675068
"ABHD6",4.20766776687591,0.360180419016865,0.883517521236216,-0.407666413352959,0.683518598746741,0.9780730092131
"ABHD8",2.70134059624815,0.519432305405739,1.02411547413279,-0.507200914863228,0.612013853171604,0.967410125124522
"ABI1",116.101548035576,-0.36617634454347,0.363763540389202,1.00663289166277,0.314111222145318,0.87867029561139
"ABI2",368.743960628749,-0.226467458650892,0.363237120226243,0.623470031118617,0.532975690098842,0.949959774989712
"ABI3",2.9532564185583,-1.25957840995617,1.06784428436378,1.17955251378868,0.238178238909394,0.836311751299492
"ABI3BP",90.1191631021509,-2.25246590168741,0.457517814882117,4.92323102711918,8.51268542491699e-07,0.00140214569805164
"ABL1",346.343095043636,-0.902469581048983,0.527425639579557,1.71108401511993,0.0870656045629212,0.670522192475519
"ABL2",149.207711868071,-0.157743693927453,0.291855107205769,0.540486323633999,0.588861690192398,0.963263404682034
"ABLIM1",51.8063456091091,-0.0516241286879251,0.375673361887241,0.13741759178395,0.890700726721533,0.993707042509611
