"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",11.2640107331124,0.516679711111186,0.534024547882575,-0.967520525338842,0.333283885583435,0.666167266204762
"A1BG-AS1",23.1436974245841,-0.156065553788378,0.303139722856659,0.514830429736106,0.606671519319804,0.853028630071627
"A2M",0,NA,NA,NA,NA,NA
"A2M-AS1",0.199465785035788,0.283510351417942,2.79853107728992,-0.101306844050662,0.919306883381344,NA
"A2ML1",0,NA,NA,NA,NA,NA
"A2MP1",0.0654001791119489,-0.58032707424022,3.10857811988902,0.186685697402045,0.851907070769658,NA
"A4GALT",4.02092788218274,-0.374300105694812,0.657580631357417,0.569207923478768,0.569215044141345,0.833574536213177
"AAAS",36.365828442375,-0.479858680880729,0.380470030033397,1.26122596525831,0.207227446199222,0.536526279484408
"AACS",194.934138235071,0.0736409587383275,0.207782280724453,-0.354414045709631,0.72302860987713,0.90524310008115
"AACSP1",0,NA,NA,NA,NA,NA
"AADACL3",0,NA,NA,NA,NA,NA
"AADAT",13.6619754011234,0.13325411564305,0.395166887063895,-0.33720972076667,0.735958809901589,0.910898978553165
"AAED1",8.99493776545689,0.309060524589085,0.383022012214229,-0.806900164307588,0.41972400415648,0.737856087202873
"AAGAB",295.060697730121,0.0164889079364747,0.25783829065049,-0.0639505788487643,0.949009578570294,0.985878301859466
"AAK1",249.125438440728,0.0849622537265289,0.247304501028937,-0.343553204139165,0.731182322417704,0.909394728944475
"AAMDC",57.8581080840816,-0.114076166865502,0.410528263403504,0.277876524066207,0.781107145545122,0.926300383686294
"AAMP",355.454507616694,0.285674727427364,0.291993005810479,-0.978361542032222,0.327895541913086,0.660929320274969
"AANAT",0.0985323071325553,-0.960917831025078,3.10591970601813,0.309382702058643,0.757030427136308,NA
"AAR2",44.3280425569658,0.00127679917024751,0.324640946564729,-0.00393295788395852,0.996861961716049,0.998831756283257
"AARD",0,NA,NA,NA,NA,NA
"AARS",361.323340272161,-1.35954485808998,0.303470040879782,4.47999695175366,7.46441052198583e-06,0.000896449512776386
"AARS2",40.8924585617185,-0.893859496850888,0.256906352256759,3.47932033987832,0.000502687301980497,0.0187528388321934
"AARSD1",89.7703700707429,0.0466512824972674,0.331719011675726,-0.140634937568401,0.888158346334674,0.967268670365276
"AASDH",34.6220324529868,-0.114487917265045,0.323867246981507,0.353502610505045,0.723711672042183,0.905554561588293
"AASDHPPT",14.2485979769711,-0.387875484923682,0.434729707001614,0.892222175472913,0.372273858407934,0.69946400692562
"AASS",89.6606488235879,-0.503503682447537,0.30500610245867,1.65079871644786,0.0987796823283044,0.384311631360277
"AATF",43.2018795252741,-0.225999556111591,0.310645518440101,0.727515907026253,0.466909974410885,0.767494832472017
"AATK",1.77377705458607,0.344515582412106,1.05453723756188,-0.326698356530904,0.743896043403806,0.913403961227697
"ABAT",0.2894693408905,-0.157132071826869,2.26121391511413,0.0694901401307437,0.944599480718212,NA
"ABCA1",6.18476239791625,0.638594411410648,0.567319654175843,-1.12563421117209,0.260320381071676,0.597338426175511
"ABCA10",7.83220514162276,0.765165050965131,0.487524741513927,-1.56948968084992,0.116533882072382,0.413188163857835
"ABCA11P",46.5636560736633,-0.264483476784204,0.256471628893366,1.03123872970047,0.302428882708183,0.637752528788141
"ABCA12",0,NA,NA,NA,NA,NA
"ABCA13",0,NA,NA,NA,NA,NA
"ABCA17P",0.201857624190768,-1.56745641868412,2.44960833200377,0.639880424231715,0.52225034150018,NA
"ABCA2",21.8287472161062,-0.181074494063709,0.614025120635334,0.294897534283859,0.768072155588301,0.921191434129643
"ABCA3",8.1417265946151,-1.4142133092233,0.757971589487425,1.86578669812631,0.0620712140997062,0.308463518054112
"ABCA4",3.70456337374566,-0.302941727572422,0.665663860408622,0.455097152767854,0.649039346310574,0.87225550764455
"ABCA5",174.92074026234,-0.126597797267283,0.42308798683644,0.299223332276328,0.764769647798224,0.92001621199104
"ABCA7",7.66652183846977,0.501172052326396,0.591183580310346,-0.847743525054099,0.396580820908958,0.719104769272654
"ABCA8",0.756870952813386,-1.96486789827479,1.3349376001914,1.4718799575299,0.141053296767903,NA
"ABCA9",0.253304592879918,-1.0372958470699,2.58310633121639,0.401569162885153,0.688001128218326,NA
"ABCA9-AS1",0,NA,NA,NA,NA,NA
"ABCB1",0,NA,NA,NA,NA,NA
"ABCB10",8.3703565989414,0.321085566462784,0.470643052046024,-0.682227359071659,0.495095197410404,0.786393097299933
"ABCB4",0.0975758596965862,-0.580327074240221,3.10857811988902,0.186685697402046,0.851907070769658,NA
"ABCB6",82.6727355304326,-0.529858990399018,0.276918465638401,1.9134115494158,0.0556953870042168,0.290929242073534
"ABCB7",73.5895635745431,-0.577043334088597,0.340917542728779,1.69261848325497,0.0905281105568578,0.369204754731588
"ABCB8",23.4629227131906,-1.07732966468984,0.389977868518954,2.76254052257194,0.00573534418717721,0.0840951963176406
"ABCB9",72.3510152873026,0.812920031735602,0.412670796669505,-1.96989958653809,0.0488498798423919,0.272865902564227
"ABCC1",186.619927692667,0.113733656056337,0.259383912661305,-0.438476137125925,0.661041164793113,0.878127233467784
"ABCC10",73.9086603865009,-0.791349577951939,0.333620899071551,2.37200241398012,0.0176919751250951,0.160411146647468
"ABCC11",0,NA,NA,NA,NA,NA
"ABCC2",12.4712173762377,2.58474236478697,0.458697682164489,-5.63495841659842,1.75100583182753e-08,8.56179315841095e-06
"ABCC3",12.3858351341885,-0.405190523022563,0.481151363002888,0.842126935885104,0.399716905479292,0.721738074985995
"ABCC4",30.37981229245,-0.0521569580106577,0.312845017584991,0.166718199360449,0.867591784935524,0.960544922876794
"ABCC5",264.981566018818,-0.548287826666091,0.318141731334967,1.72340743971374,0.0848148704729324,0.358946976924074
"ABCC6",2.08984048442377,-0.992697509973239,0.826841233083198,1.20059023456242,0.229910190975082,0.564002942956432
"ABCC8",0,NA,NA,NA,NA,NA
"ABCC9",2.89660407379808,-1.41653294475341,1.038853874304,1.36355360440124,0.172708102644807,0.494320269456639
"ABCD1",6.16956152464723,1.09973236648802,0.545306170507932,-2.0167245961359,0.0437242616677076,0.260160307037195
