"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",327.663573570962,-0.867481654451815,0.579988373113251,1.49568800801189,0.1347349767642,0.999405235255404
"A1BG-AS1",8.81236056195535,-1.19750288999882,1.11243854986552,1.07646655192197,0.281718652147735,0.999405235255404
"A2M",0.197586601115436,1.05943034123792,4.98950941378145,-0.212331564765002,0.831848371687854,NA
"A2M-AS1",0.633640337547142,0.585849308111994,3.90534413439407,-0.150012210947676,0.8807549813354,NA
"A2ML1",0.492606201102207,2.2485806368373,4.66565464834335,-0.481943222616296,0.629846280415769,NA
"A2MP1",0,NA,NA,NA,NA,NA
"A4GALT",11.2013985172909,-1.44722050808171,1.09563942629024,1.32089122877031,0.18653763479582,0.999405235255404
"AAAS",90.6415761686113,-0.359520990703828,0.565856857280751,0.635356779860408,0.525195749497042,0.999405235255404
"AACS",83.0316725885082,-0.0302586636706364,0.571731015842686,0.0529246495855005,0.957791944386693,0.999405235255404
"AACSP1",1.77875196471488,0.0194569308982544,2.19235054265867,-0.00887491781978395,0.992918933049045,NA
"AADACL3",0.197586601115436,1.05943034123792,4.98950941378145,-0.212331564765002,0.831848371687854,NA
"AADAT",13.326159776249,1.25737787298348,0.935567808245338,-1.34397299896594,0.178957118374766,0.999405235255404
"AAED1",39.3178279776948,0.21113863790272,0.744851922423075,-0.283463909465207,0.776821243624044,0.999405235255404
"AAGAB",448.373544716399,0.780135848162797,0.567347630363509,-1.37505791231198,0.169113491180149,0.999405235255404
"AAK1",69.9548447063059,0.202829856605495,0.577322690250803,-0.351328399230906,0.725341991687491,0.999405235255404
"AAMDC",58.8210090296416,0.445755029758786,0.61162129883395,-0.728808873413358,0.466118582930421,0.999405235255404
"AAMP",809.805057052761,-0.0712084947235751,0.494319126854534,0.144053690935835,0.88545807249355,0.999405235255404
"AANAT",0.898808526616634,-1.44117453932635,3.45462974076447,0.41717192506061,0.676552658824476,NA
"AAR2",96.7543883616836,0.455856827912301,0.540801873686734,-0.842927604530383,0.399268933930043,0.999405235255404
"AARD",9.88378049008488,0.630284315174278,1.24282448066034,-0.507138638626905,0.612057545737445,0.999405235255404
"AARS",121.948071635662,0.470262385605056,0.52866129536273,-0.889534357309808,0.373715966960497,0.999405235255404
"AARS2",15.5840192742991,0.0510993456440746,0.856419907126668,-0.059666228235534,0.952421469757146,0.999405235255404
"AARSD1",176.187593994357,-0.823607851851492,0.497554802040484,1.65531082902598,0.0978614634240719,0.999405235255404
"AASDH",14.9902395756067,-0.6345156800729,0.899434567466864,0.705460633851251,0.480523621917017,0.999405235255404
"AASDHPPT",48.5079827045881,-0.380732570777299,0.608232475354901,0.625965541473501,0.531337543316335,0.999405235255404
"AASS",2.90216715209813,-2.36444603315385,1.98746242527581,1.18968087299851,0.234171845858889,NA
"AATF",93.830038537154,0.469446406059151,0.528404146509593,-0.888423017041233,0.374313248802131,0.999405235255404
"AATK",6.03551281494783,0.0540691404390067,1.33121270054545,-0.0406164547685372,0.967601665972943,NA
"ABAT",13.9760421090531,-0.36346199117537,0.936380167612011,0.388156438748893,0.69790026761073,0.999405235255404
"ABCA1",2.1628960436622,2.83283823262373,2.35231109408164,-1.20427873666501,0.228481862309536,NA
"ABCA10",0,NA,NA,NA,NA,NA
"ABCA11P",29.9775571288214,-0.140586528973758,0.693250314088358,0.202793314502328,0.839296583622106,0.999405235255404
"ABCA12",0.969540471734748,-0.0309959321667332,3.26306709948014,0.00949901770995496,0.992420994403907,NA
"ABCA13",1.24707668533185,-0.870381563244424,2.57653833744118,0.337810445354684,0.735506037905341,NA
"ABCA17P",8.30095721934343,0.830098724621358,1.11596130610357,-0.743841851936325,0.456972157199502,0.999405235255404
"ABCA2",5.51363850549764,-0.240976852461205,1.36261888088989,0.176848314551336,0.859627537591279,NA
"ABCA3",14.9475475854858,-0.480865044740828,0.877112688502514,0.5482363338761,0.583529636761067,0.999405235255404
"ABCA4",1.45431070760212,-0.0257376911830854,2.76163052791764,0.00931974459396364,0.992564027323178,NA
"ABCA5",1.47781860330662,3.83518602683161,3.081792296796,-1.24446609553112,0.213328070121074,NA
"ABCA7",1.49337978588295,-0.246023070198741,2.36918581695921,0.103842876501137,0.91729403985183,NA
"ABCA8",0,NA,NA,NA,NA,NA
"ABCA9",0,NA,NA,NA,NA,NA
"ABCA9-AS1",0,NA,NA,NA,NA,NA
"ABCB1",5.00851073108982,-0.448357688404881,1.3870101018347,0.323254811058552,0.746502273883238,NA
