"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",395.099175424613,-0.174747522810816,0.624709575942322,0.279726019162142,0.779687714495413,0.999979542608379
"A1BG-AS1",15.1436869060282,0.574542029386596,1.04027568021601,-0.552297857494175,0.580744298265327,0.999979542608379
"A2M",0,NA,NA,NA,NA,NA
"A2M-AS1",0.940254502443055,1.38272114741039,3.48714491289832,-0.396519554520361,0.691721785133304,0.999979542608379
"A2ML1",0,NA,NA,NA,NA,NA
"A2MP1",0,NA,NA,NA,NA,NA
"A4GALT",16.4379546814237,0.0403049615246827,1.07864727963167,-0.0373662107027664,0.970193013799024,0.999979542608379
"AAAS",102.87796002833,0.0444550264468078,0.610178891641398,-0.0728557265021451,0.941920925400916,0.999979542608379
"AACS",77.2996067512755,-0.217720693003713,0.647360997770771,0.336320374186038,0.736629287494413,0.999979542608379
"AACSP1",1.06303469727613,-2.07157098850982,3.34055565157717,0.620127668740311,0.535173737261494,0.999979542608379
"AADACL3",0,NA,NA,NA,NA,NA
"AADAT",10.9070448839265,0.837967995760962,1.11759979105975,-0.749792548696141,0.453379657179049,0.999979542608379
"AAED1",36.105169207924,0.00604286942744148,0.775496743778197,-0.00779225635171697,0.993782741881095,0.999979542608379
"AAGAB",482.459812593576,0.957820714505053,0.669448784130065,-1.43076025711171,0.152498936951667,0.999979542608379
"AAK1",62.8426576976179,-0.072159509171309,0.768529272926917,0.0938929871812065,0.925194164646811,0.999979542608379
"AAMDC",45.6479850993031,-0.229199017549509,0.807232615124789,0.283931810057102,0.776462638351561,0.999979542608379
"AAMP",807.602002607879,-0.0525134391669577,0.53101739013472,0.0988921269671318,0.921223920034427,0.999979542608379
"AANAT",0.644438335428793,-2.99295358022232,4.77153322043671,0.627251963248071,0.530494086110852,0.999979542608379
"AAR2",93.4347046545246,0.381024872968403,0.658966267850543,-0.578216050741494,0.563118263573479,0.999979542608379
"AARD",10.9927697646928,0.885580477771943,1.34133427778029,-0.660223549373126,0.50911038212203,0.999979542608379
"AARS",110.481330573609,0.23165724484039,0.60870133635338,-0.380576205447826,0.703517740223951,0.999979542608379
"AARS2",16.1420679991219,0.179767305873655,0.963284435687977,-0.186619132639952,0.851959264606774,0.999979542608379
"AARSD1",202.57921877105,-0.296948779050372,0.56268276848735,0.527737467149838,0.597681564585347,0.999979542608379
"AASDH",15.1788206716848,-0.537931500108739,1.01071509532875,0.532228619711837,0.594567663233606,0.999979542608379
"AASDHPPT",44.6119305245704,-0.651970000727939,0.704408362745705,0.925556871850062,0.354676315255497,0.999979542608379
"AASS",3.27633376581232,-1.4567801583688,1.88121843432469,0.774381183911664,0.438705407378383,0.999979542608379
"AATF",80.539911786487,0.0872119901733302,0.606410033348195,-0.143816865449609,0.885645084624806,0.999979542608379
"AATK",5.16141653077294,-0.432407254262215,1.50958698371351,0.286440767526038,0.774540554162205,0.999979542608379
"ABAT",12.4473976628805,-0.746347116263085,1.08725071076752,0.686453555625839,0.492427142391276,0.999979542608379
"ABCA1",0.237706349594685,-1.73131315822336,4.986540773839,0.347197232860582,0.728443149553381,0.999979542608379
"ABCA10",0,NA,NA,NA,NA,NA
"ABCA11P",37.6035252626186,0.501826153110677,0.725324256734534,-0.69186456740043,0.489022383947455,0.999979542608379
"ABCA12",0.475412699189371,-2.59512321463015,4.90892155987913,0.528654447412691,0.597045182538316,0.999979542608379
"ABCA13",0.978521879156419,-1.94643660214289,3.43167275132717,0.56719761562058,0.570579927827352,0.999979542608379
"ABCA17P",5.7840256255761,-0.0703090477204799,1.43408477451237,0.0490271209694609,0.960897682515226,0.999979542608379
"ABCA2",8.64796560745476,0.940452016145644,1.37357659344084,-0.684673880318379,0.493549734852269,0.999979542608379
"ABCA3",14.964702276264,-0.457634282532081,0.995330556472892,0.459781204903203,0.64567327527469,0.999979542608379
"ABCA4",0.894009061036708,-1.80770588004706,3.84833718652786,0.46973687398688,0.638543019738969,0.999979542608379
"ABCA5",2.18758351659032,4.41225516640871,2.75145130538197,-1.60361012305692,0.108800017966587,0.999979542608379
"ABCA7",2.10177721839306,0.668687149301979,2.52435250256273,-0.264894521911313,0.791090718521653,0.999979542608379
"ABCA8",0,NA,NA,NA,NA,NA
"ABCA9",0,NA,NA,NA,NA,NA
"ABCA9-AS1",0,NA,NA,NA,NA,NA
"ABCB1",5.17785466686067,-0.320611449245571,1.51561666803702,0.21153861395627,0.832467004294426,0.999979542608379
"ABCB10",5.27751214099057,-1.26213229328884,1.56789016867082,0.804987695253432,0.420826780436123,0.999979542608379
"ABCB4",0,NA,NA,NA,NA,NA
"ABCB6",5.19053638733729,-0.891927728429432,1.55289113568244,0.574365908810127,0.56572021731285,0.999979542608379
"ABCB7",50.8493500998569,-0.0694197031104938,0.769886844870143,0.090168709301953,0.928153149371047,0.999979542608379
"ABCB8",14.0917974309639,0.621630284627892,1.0660718781808,-0.583103538655079,0.559823601710551,0.999979542608379
"ABCB9",196.172107820423,-0.152399195392363,0.73638406082059,0.206956129960956,0.836044119930857,0.999979542608379
