"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",13.9687217333131,0.0669788692083869,0.791759522056335,-0.0845949651914906,0.932583401916165,NA
"A1BG-AS1",9.04039032728097,-1.28563825059929,1.00239334423598,1.28256862237967,0.199643249052476,NA
"A2M",0,NA,NA,NA,NA,NA
"A2M-AS1",0.570324445046458,-2.76801952904129,3.83945116575318,0.720941460001169,0.470945532764997,NA
"A2ML1",0.175536080442105,1.05795218007352,4.97980690240746,-0.212448434408583,0.831757202859245,NA
"A2MP1",0,NA,NA,NA,NA,NA
"A4GALT",1.47397543474382,1.25317750773007,2.62225606414284,-0.477900508980121,0.63272101911587,NA
"AAAS",59.7108035245772,0.555038018582157,0.482771806010977,-1.14969020906233,0.250271488382894,0.65464715784968
"AACS",124.124044255762,-0.0955987847962789,0.365021035531964,0.261899385214767,0.793399013607685,0.942152082497419
"AACSP1",42.5788953339414,-1.47103011509829,0.514710869041325,2.85797367721835,0.0042635575817235,0.0964160719045282
"AADACL3",0,NA,NA,NA,NA,NA
"AADAT",62.2672714994092,-0.589842534725394,0.444229612228331,1.32778751908646,0.184248311238173,0.582087537680232
"AAED1",17.0620906199359,0.152200425078944,0.750358449089785,-0.202836957808058,0.839262470177872,NA
"AAGAB",317.452021552882,0.389398336325863,0.298978959505289,-1.30242722421066,0.192770381100695,0.594756291304823
"AAK1",198.21800288184,0.329102704037638,0.343669706883773,-0.957613363778199,0.33825775788123,0.725289655311139
"AAMDC",18.2183045897297,-0.387377602146222,0.727863146352468,0.532212139174078,0.594579076307557,NA
"AAMP",373.338029823568,0.321887916431551,0.287758449454145,-1.11860456936068,0.263308873247031,0.665950086389486
"AANAT",0,NA,NA,NA,NA,NA
"AAR2",61.8642721052606,0.188388764537454,0.449822423404392,-0.418806966339452,0.675357213206317,0.904449610712775
"AARD",2.80725818464901,0.725410574184655,4.00270174939461,-0.181230233877498,0.856186864312462,NA
"AARS",221.210774500284,-0.119970573142566,0.336840892864062,0.35616392096129,0.721717809526071,0.916952316529128
"AARS2",40.9755714874772,-0.303046388142721,0.514142467584569,0.589421040371216,0.555578865605173,0.854962211027011
"AARSD1",133.708569012453,0.0855025000259511,0.356195354817017,-0.240043837937962,0.810296272156942,0.947647449739464
"AASDH",72.7446911147809,-0.297323226914363,0.427142853106144,0.696074450859368,0.486382205812935,0.818095523477835
"AASDHPPT",45.4958567647672,-0.031266444228835,0.525102749498491,0.0595434784119805,0.95251923612263,0.988751281876101
"AASS",65.6431151830288,-0.0201331577910408,0.423752514796816,0.0475115948295773,0.962105489435037,0.990144701689891
"AATF",122.222808071597,0.306613607589147,0.357726317934327,-0.857117836226509,0.391379764773264,0.759820698413268
"AATK",5.62783752295124,0.226843336032349,1.22160035769413,-0.185693573682751,0.852685068132191,NA
"ABAT",22.1796896167255,0.0963139395123863,0.663517231999913,-0.145156651353403,0.884587190570879,0.972294013503602
"ABCA1",1.894734386835,0.295743851912086,2.31975182515838,-0.127489436027018,0.898553033785863,NA
"ABCA10",0.385915556487698,-0.282826274282829,4.53401663490068,0.0623787464972599,0.950261219831719,NA
"ABCA11P",33.325888955405,0.145232904455396,0.562756464259416,-0.258074164721541,0.796349669931371,0.942337702973362
"ABCA12",0.385915556487698,-0.282826274282829,4.53401663490068,0.0623787464972599,0.950261219831719,NA
"ABCA13",7.13803884523859,0.364066831410544,1.08326165883822,-0.336083926205788,0.736807579186647,NA
"ABCA17P",0.35107216088421,1.83361580385748,4.92178146456982,-0.37255124329616,0.70948246657044,NA
"ABCA2",17.1646370296315,-0.995725300223508,0.738409745825786,1.34847258700514,0.177506431321302,NA
"ABCA3",7.31080994180059,0.259714741065205,1.10904964572114,-0.234177741336664,0.814846994464653,NA
"ABCA4",4.01817831329665,-1.20935147833188,1.46836086630559,0.823606448580058,0.410163210683446,NA
