"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",17.01959743175,0.857250104837904,0.718838737804906,-1.19254856444668,0.233046220239855,NA
"A1BG-AS1",8.78705014987395,-0.859180034460089,1.00227323757937,0.857231343954799,0.391317043201639,NA
"A2M",0,NA,NA,NA,NA,NA
"A2M-AS1",0.722959373867199,-1.02576942452123,3.29609324634625,0.31120764731347,0.755642769789295,NA
"A2ML1",0,NA,NA,NA,NA,NA
"A2MP1",0,NA,NA,NA,NA,NA
"A4GALT",1.32426831267297,1.22315382674937,2.52444300686174,-0.484524238980518,0.62801386631858,NA
"AAAS",50.1118529532009,0.402995134075156,0.48102379166264,-0.837786282217391,0.402150744403768,NA
"AACS",103.367696465698,-0.285483234432332,0.381434365895061,0.748446547972748,0.454190854729382,NA
"AACSP1",47.4671174539801,-0.472427991371218,0.460072298394259,1.02685598115792,0.304488284428061,NA
"AADACL3",0,NA,NA,NA,NA,NA
"AADAT",47.4473861116467,-1.22499657314962,0.471384035598821,2.5987230806267,0.00935712239798477,NA
"AAED1",11.9879681104549,-0.537033694861099,0.908727605536989,0.590973237292326,0.554538352932209,NA
"AAGAB",254.183256172822,0.124313014607596,0.308581085021085,-0.402853644121128,0.687055894902965,0.864630645137217
"AAK1",146.622332300018,-0.162880238985642,0.324915051605812,0.50130099600079,0.616159304432631,0.822724427535105
"AAMDC",20.1627607774766,0.271272927215193,0.678992896497797,-0.399522481920506,0.689508261658088,NA
"AAMP",300.577391718776,0.0682454483861985,0.267230828325393,-0.255380147619419,0.798429502458603,0.91579598519892
"AANAT",0,NA,NA,NA,NA,NA
"AAR2",59.8096589153285,0.407790426841875,0.429615164987952,-0.949199330180328,0.342519242177245,NA
"AARD",2.97575484218691,0.99895755445716,1.7444175170772,-0.572659667010757,0.566875151406664,NA
"AARS",214.776619671412,0.136905961937281,0.290592914761539,-0.471126290362673,0.637550551796372,0.834117333054066
"AARS2",35.8738674997025,-0.364781474361931,0.55225848073537,0.66052670458985,0.508915887223946,NA
"AARSD1",110.546659209475,-0.111022004250849,0.35111511113559,0.31619830855977,0.751851991513627,NA
"AASDH",61.3182055500163,-0.441360283647557,0.421965413008308,1.04596317622569,0.295578034094281,NA
"AASDHPPT",51.9636854111163,0.61610155053692,0.456771116481629,-1.34881897805309,0.177395117407594,NA
"AASS",54.5347371180507,-0.214734467010483,0.437980069531111,0.490283649756874,0.623933195199791,NA
"AATF",112.224871705245,0.391914057003629,0.348631458722639,-1.12415000768885,0.260949393537635,NA
"AATK",2.99093667315962,-1.62935775672915,1.69174132693079,0.963124640151207,0.33548497772868,NA
"ABAT",24.1094447733927,0.628753704093288,0.626485398255998,-1.00362068428667,0.315561480735845,NA
"ABCA1",1.77007003958097,0.335704948938996,2.18500249262021,-0.153640533625399,0.877893175155182,NA
"ABCA10",0.627361705207495,0.976863536437789,3.69946025781258,-0.26405569146873,0.791737005517049,NA
"ABCA11P",24.9935761907127,-0.350798222043094,0.633626792444871,0.55363539898546,0.579828394728999,NA
"ABCA12",0.18812841232501,-1.29473849169166,4.97919271208329,0.260029801326959,0.794840785933165,NA
"ABCA13",8.79069605876417,1.09913649876158,1.00464586261771,-1.09405367568793,0.273931437731963,NA
"ABCA17P",0.728394841581709,3.02895484933048,3.44031993030132,-0.880428248155744,0.378627359276702,NA
"ABCA2",17.6680612035826,-0.43834230758178,0.768041600196295,0.570727298455903,0.568184511192301,NA
"ABCA3",3.97507087064092,-1.48972484515164,1.53226761889154,0.972235415527037,0.330933445501439,NA
"ABCA4",5.13014951509009,0.0621017967416222,1.26459901681715,-0.0491078957960328,0.960833311065888,NA
"ABCA5",43.3226349066388,-0.0315624581402217,0.491539402649737,0.0642114507404254,0.948801859839958,NA
"ABCA7",6.19324300414895,0.370312037998758,1.19416979063871,-0.310099988210801,0.756484921228678,NA
"ABCA8",0,NA,NA,NA,NA,NA
